,best_offset,best_res,sec_best_res
0e75b584369e4dcbb5e9e5a7b9e50c97,0.0,0.5850906648757556,0.7376315200358182
0e8ae1d783864698ad6093549ec412b8,-24.0,0.32071490629266475,0.45997269455132184
0e9264a85ca0428192b3d5bc46139339,-12.0,0.41942468295700586,0.530467058459635
0e9e1d024e1043268b9d9d31a7681ef4,-12.0,0.38071155129420853,0.6192182067221579
0ea248a9588641749edeae319b6ed3ac,-12.0,0.41784715329784355,0.48294685554452765
0eab5f7d52234149804b8960cd6cff79,0.0,0.5759589386370927,0.7273727143577288
0ec2ee5883da4b0b9abcad3bb9a80414,0.0,0.33786458333333336,0.4541145833333333
0ed4c41a05394bbca54a0d1e001c3082,-12.0,0.4327922540224975,0.674426883098391
0ef5da404f744772adbcb789d3a2d9d9,-2.0,0.525065963060686,0.5359798512832814
0efbf5354ba24a71b6803643484c2a56,-12.0,0.4975767366720517,0.6679293632666704
0effeb647c8b4b348e0b0e0274642f26,-11.0,0.36954614341549014,0.568796362766212
0f1ae380105c4bf1841d13f8303c23a2,-12.0,0.5532554039051786,0.619865473780448
0f1db02a032c4b4083b574750d3e6e91,-12.0,0.4428056937060538,0.45692562739381465
0f46aeae45ed4e6987f8b35e40d96c59,-12.0,0.5238383615943625,0.6436908170006607
0f76de80165642e185ee1e59c37089d2,-12.0,0.3760474702178738,0.6894052633962948
0fa50f4e27ee42a2821465125bdb9c43,-12.0,0.5412030317690695,0.5787776165134656
0fac86e7adff4e8985d79d40bc4f09ea,0.0,0.4983581824636138,0.6980830670926518
0fc9336b8b6c425e93f51c9e714b7790,0.0,0.47424532354434334,0.488616393954778
0fd00d8710024c90bed7fa75c4303446,-12.0,0.30658401026079524,0.5513894826849081
0fdbfcb307dd4731b0f194c49b526136,0.0,0.29231255931667194,0.5148009219505582
1001a8f0b5af460b90617da87fed8dd1,-12.0,0.5279586276954333,0.700881931938865
1015b75cc987411fab8cc073f7aa7cf5,0.0,0.4129126012040689,0.48100477475607223
102b2bd43fa44ee784d91c716db7e09c,0.0,0.2603632478632479,0.42430555555555555
104757c9872148b29a0c3606321d9e3d,-12.0,0.35565888405223584,0.5921547289275821
104cf61fe062476da7930a9339647f29,0.0,0.37127266477614507,0.5233737217495918
104f29abe86e4e67a81801a7029a83af,0.0,0.5039245548266167,0.5617970946579194
105bad2ae50b44609a0946556a35d333,0.0,0.2712249227677076,0.39513157404994975
1063dca0cd74490c84f551bdccbb022a,-12.0,0.38373345157407995,0.5941597516944321
10709004fea740c0ac62b514f7964534,-12.0,0.40575721511454926,0.6634186254091045
109ea3d2849d4798bc226a7acda2d59e,-8.0,0.7948869223205507,0.7949852507374632
10a8b0cbe23246b183f9c038b3fa709f,-12.0,0.2773791689663329,0.3149885673736498
